Variable,"Never-trans CAND (n=1,217)","Never-trans NON-cand (n=41,678)",pre_CMO CAND (n=32),OR [95% CI],p (raw),p (FDR)
Long LOS (≥21 days),100 (8.2%),"1,376 (3.3%)",11 (34.4%),2.63 [2.13–3.25],<0.001,<0.001
Multimorbid (Charlson ≥5),855 (70.3%),"23,744 (57.0%)",25 (78.1%),1.78 [1.57–2.02],<0.001,<0.001
Repeat ICU user (≥1 prior stay),467 (38.4%),"13,362 (32.1%)",13 (40.6%),1.32 [1.17–1.48],<0.001,<0.001
Died in hospital,324 (26.6%),"4,856 (11.7%)",31 (96.9%),2.75 [2.42–3.14],<0.001,<0.001
Age (years),69.2 [57.9–79.8],66.9 [55.6–77.1],74.8 [58.5–82.6],,<0.001,<0.001
ICU LOS (hours),157.9 [103.6–268.3],91.5 [64.5–155.9],350.8 [202.3–560.6],,<0.001,<0.001
Charlson index,6.0 [4.0–8.0],5.0 [3.0–7.0],7.5 [5.0–9.0],,<0.001,<0.001
Prior ICU days (cumulative),0.0 [0.0–3.3],0.0 [0.0–1.7],0.0 [0.0–4.7],,<0.001,<0.001
Prior ICU stay count,0.0 [0.0–1.0],0.0 [0.0–1.0],0.0 [0.0–1.0],,<0.001,<0.001
Max palliative score in stay,2.2 [1.9–2.5],1.0 [0.5–1.4],2.3 [2.1–2.5],,<0.001,<0.001
Gender,,,,,0.996,0.996
  F,523 (43.0%),"17,914 (43.0%)",15 (46.9%),,,
  M,694 (57.0%),"23,764 (57.0%)",17 (53.1%),,,
Ethnicity,,,,,0.365,0.391
  Asian,31 (2.5%),"1,230 (3.0%)",1 (3.1%),,,
  Black,150 (12.3%),"4,496 (10.8%)",0 (0.0%),,,
  Hispanic/Latino,40 (3.3%),"1,560 (3.7%)",0 (0.0%),,,
  Other/Unknown,212 (17.4%),"7,055 (16.9%)",8 (25.0%),,,
  White,784 (64.4%),"27,337 (65.6%)",23 (71.9%),,,
Age group,,,,,<0.001,<0.001
  18-44,102 (8.4%),"4,926 (11.8%)",1 (3.1%),,,
  45-64,388 (31.9%),"13,846 (33.2%)",12 (37.5%),,,
  65-74,281 (23.1%),"10,463 (25.1%)",3 (9.4%),,,
  75-84,294 (24.2%),"8,357 (20.1%)",10 (31.2%),,,
  85+,152 (12.5%),"4,086 (9.8%)",6 (18.8%),,,
Marital status,,,,,0.038,0.044
  DIVORCED,108 (8.9%),"3,065 (7.4%)",0 (0.0%),,,
  MARRIED,505 (41.5%),"18,698 (44.9%)",13 (40.6%),,,
  SINGLE,337 (27.7%),"11,544 (27.7%)",9 (28.1%),,,
  UNKNOWN,115 (9.4%),"3,905 (9.4%)",3 (9.4%),,,
  WIDOWED,152 (12.5%),"4,466 (10.7%)",7 (21.9%),,,
Discharge destination,,,,,<0.001,<0.001
  DIED,327 (26.9%),"4,892 (11.7%)",31 (96.9%),,,
  FACILITY,567 (46.6%),"18,327 (44.0%)",1 (3.1%),,,
  HOME,258 (21.2%),"16,954 (40.7%)",0 (0.0%),,,
  HOSPICE,62 (5.1%),"1,198 (2.9%)",0 (0.0%),,,
  OTHER,1 (0.1%),244 (0.6%),0 (0.0%),,,
  UNKNOWN,2 (0.2%),63 (0.2%),0 (0.0%),,,
